"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-11",101.882888488052,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-12",102.332519334985,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-01",102.69043594692,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-02",102.989190643892,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-03",103.261905409296,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-04",103.504420017998,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-05",103.663480096007,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-06",103.622512483716,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-07",103.270855129835,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-08",102.773014675628,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-09",102.33329245237,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-10",102.10659357912,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-11",102.051117829563,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-12",102.122445652119,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-01",102.296401066368,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-02",102.465110987356,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-03",102.491339783293,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-04",102.268069326507,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-05",101.920560169452,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-06",101.605654910738,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-07",101.435320261438,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-08",101.367585213049,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-09",101.344262833655,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-10",101.326072463184,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-11",101.283349239668,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1989-12",101.181621616574,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-01",100.991721733188,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-02",100.758900184579,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-03",100.531823079898,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-04",100.334490765915,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-05",100.132412106619,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-06",99.8668725315311,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-07",99.4939484293199,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-08",99.0869824572214,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-09",98.7529276993611,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-10",98.5827336949661,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-11",98.5288212523389,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-12",98.5426636001168,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-01",98.5960859767653,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-02",98.6348104296648,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-03",98.590259144732,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-04",98.4060556997894,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-05",98.1478020557685,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-06",97.8937663234386,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-07",97.6996207292154,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-08",97.5589616692777,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-09",97.4670038912516,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-10",97.4307881416089,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-11",97.4306875311544,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-12",97.4566232846684,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-01",97.5081653513611,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-02",97.5685966513591,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-03",97.6185967152817,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-04",97.6410360905125,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-05",97.6362019835468,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-06",97.5993588847603,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-07",97.5255826753749,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-08",97.4466037262454,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-09",97.4067445478405,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-10",97.4440601799677,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-11",97.5323588107743,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-12",97.6417247040244,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-01",97.7480581276965,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-02",97.8215480201376,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-03",97.8181771257959,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-04",97.7040706621836,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-05",97.556705773623,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-06",97.4833408760503,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-07",97.5727034267676,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-08",97.7726777032066,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-09",98.029232224155,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-10",98.3147354452608,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-11",98.5996912100276,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-12",98.8607512069213,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-01",99.0892748828162,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-02",99.3237851243146,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-03",99.6171217006604,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-04",99.9976081410493,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-05",100.371392277092,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-06",100.59853974631,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-07",100.575829799984,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-08",100.466187777819,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-09",100.493105082328,
