Time,Balance,Product,Value,Unit
July 2021,Net Electricity Production,Geothermal,7.5307,GWh
July 2021,Net Electricity Production,Other Renewables,39.8221,GWh
July 2021,Net Electricity Production,Not Specified,43.6602,GWh
July 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",10751.334,GWh
July 2021,Total Imports,Electricity,763.053,GWh
July 2021,Total Exports,Electricity,8110.5678,GWh
July 2021,Used for pumped storage,Electricity,314.3989,GWh
July 2021,Distribution Losses,Electricity,2344.3484,GWh
July 2021,Final Consumption (Calculated),Electricity,31597.6052,GWh
June 2021,Net Electricity Production,Electricity,40172.0138,GWh
June 2021,Net Electricity Production,Nuclear,27716.162,GWh
June 2021,Net Electricity Production,Total Combustible Fuels,2941.5972,GWh
June 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",145.3407,GWh
June 2021,Net Electricity Production,Oil and Petroleum Products,439.0433,GWh
June 2021,Net Electricity Production,Natural Gas,1574.2021,GWh
June 2021,Net Electricity Production,Combustible Renewables,607.6047,GWh
June 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
June 2021,Net Electricity Production,Hydro,6286.842,GWh
June 2021,Net Electricity Production,Wind,1349.1517,GWh
June 2021,Net Electricity Production,Solar,1787.2479,GWh
June 2021,Net Electricity Production,Geothermal,7.5307,GWh
June 2021,Net Electricity Production,Other Renewables,39.8221,GWh
June 2021,Net Electricity Production,Not Specified,43.6602,GWh
June 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",10078.1991,GWh
June 2021,Total Imports,Electricity,709.3541,GWh
June 2021,Total Exports,Electricity,7585.6685,GWh
June 2021,Used for pumped storage,Electricity,375.8493,GWh
June 2021,Distribution Losses,Electricity,2315.41,GWh
June 2021,Final Consumption (Calculated),Electricity,30604.4401,GWh
May 2021,Net Electricity Production,Electricity,42569.0773,GWh
May 2021,Net Electricity Production,Nuclear,27574.674,GWh
May 2021,Net Electricity Production,Total Combustible Fuels,2887.0573,GWh
May 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",128.9481,GWh
May 2021,Net Electricity Production,Oil and Petroleum Products,447.113,GWh
May 2021,Net Electricity Production,Natural Gas,1324.3775,GWh
May 2021,Net Electricity Production,Combustible Renewables,811.2123,GWh
May 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
May 2021,Net Electricity Production,Hydro,6340.4556,GWh
May 2021,Net Electricity Production,Wind,3951.8568,GWh
May 2021,Net Electricity Production,Solar,1724.0206,GWh
May 2021,Net Electricity Production,Geothermal,7.5307,GWh
May 2021,Net Electricity Production,Other Renewables,39.8221,GWh
May 2021,Net Electricity Production,Not Specified,43.6602,GWh
May 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",12874.898,GWh
May 2021,Total Imports,Electricity,1248.1814,GWh
May 2021,Total Exports,Electricity,7175.332,GWh
May 2021,Used for pumped storage,Electricity,471.3608,GWh
May 2021,Distribution Losses,Electricity,2662.934,GWh
May 2021,Final Consumption (Calculated),Electricity,33507.6318,GWh
April 2021,Net Electricity Production,Electricity,40135.7713,GWh
April 2021,Net Electricity Production,Nuclear,27209.135,GWh
April 2021,Net Electricity Production,Total Combustible Fuels,4126.0734,GWh
April 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",331.7774,GWh
April 2021,Net Electricity Production,Oil and Petroleum Products,451.3227,GWh
April 2021,Net Electricity Production,Natural Gas,2643.9838,GWh
